timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.190701,0.0559429
0,0.199854,0.0561314
0,0.18866,0.0554587
0,0.182975,0.0592573
0,0.19176,0.0560319
0,0.193883,0.0557473
0,0.172235,0.0554086
0,0.177681,0.0574673
0,0.19841,0.0586909
0,0.210288,0.0607227
0,0.193828,0.0570329
0,0.179261,0.0544722
0,0.187285,0.0566949
0,0.174982,0.0582504
0,0.189913,0.058169
0,0.187216,0.0598761
0,0.179024,0.056634
0,0.197318,0.0580371
0,0.191606,0.0580179
0,0.203055,0.0569171
0,0.196702,0.0543494
0,0.173429,0.0565449
0,0.16136,0.0582027
0,0.182997,0.0556113
0,0.181015,0.055018
0,0.193377,0.0531296
0,0.173667,0.056637
0,0.180047,0.0559926
0,0.206479,0.0525355
0,0.198998,0.0575978
0,0.197229,0.0591284
0,0.196315,0.0564482
0,0.187094,0.0565865
0,0.187877,0.0553398
0,0.157273,0.0558837
0,0.19248,0.0581754
0,0.178971,0.0565559
0,0.182403,0.0564805
0,0.174725,0.0569352
0,0.180294,0.0560841
0,0.177963,0.055726
0,0.166978,0.0559094
0,0.183232,0.056875
0,0.167547,0.0534579
0,0.171715,0.0579886
0,0.173143,0.0560671
0,0.1922,0.0559669
0,0.167528,0.0553625
0,0.173966,0.0569493
0,0.200338,0.0573879
0,0.19285,0.0531825
0,0.168055,0.0540417
0,0.153465,0.054626
0,0.176201,0.0574734
0,0.153821,0.0521643
0,0.178196,0.0543247
0,0.188096,0.0571051
0,0.171604,0.0542188
0,0.188685,0.054764
0,0.172956,0.0539646
0,0.187101,0.0557785
0,0.170508,0.0539408
0,0.16285,0.0576656
0,0.170934,0.0543696
0,0.170215,0.0548921
0,0.160449,0.0548435
0,0.178224,0.0540907
0,0.18863,0.0547074
0,0.190107,0.0542117
0,0.155295,0.0533465
0,0.194633,0.0550033
0,0.169285,0.0508895
0,0.185157,0.0551546
0,0.211244,0.0533188
0,0.181584,0.0545172
0,0.181877,0.0550261
0,0.183909,0.0572289
0,0.168805,0.0515988
0,0.170688,0.0537295
0,0.178718,0.0522301
0,0.183495,0.0539439
0,0.184446,0.055029
0,0.178087,0.055316
0,0.171917,0.0545356
0,0.151368,0.0544872
0,0.151236,0.0533348
0,0.183935,0.0554635
0,0.170517,0.05511
0,0.183653,0.0552164
0,0.147651,0.0549868
0,0.16399,0.053425
0,0.176794,0.0545435
0,0.160511,0.0542065
0,0.169062,0.0522149
0,0.166045,0.0527787
0,0.165457,0.0535162
0,0.166829,0.0538973
0,0.180059,0.0526181
0,0.161446,0.0534963
0,0.153391,0.0538487
0,0.158753,0.0525623
0,0.184384,0.0523238
0,0.170576,0.0507594
0,0.163665,0.0527804
0,0.197035,0.0514857
0,0.170696,0.0514693
0,0.178091,0.0523849
0,0.162648,0.0533067
0,0.167568,0.0548634
0,0.189817,0.0518419
0,0.196652,0.0519256
0,0.178182,0.0537581
0,0.187707,0.0523076
0,0.160266,0.0544603
0,0.167343,0.0499024
0,0.161372,0.0509268
0,0.185783,0.0515885
0,0.196566,0.0500737
0,0.181453,0.0511159
0,0.193566,0.0505978
0,0.161327,0.050691
0,0.175951,0.0526222
0,0.178085,0.0503093
0,0.155762,0.0512893
0,0.14755,0.053393
0,0.168261,0.0527866
0,0.161048,0.0498374
0,0.162145,0.0512956
0,0.172424,0.0540091
0,0.173539,0.0485191
0,0.167414,0.0470179
0,0.175671,0.0493247
0,0.174161,0.0480332
0,0.167983,0.0507833
0,0.141351,0.0520675
0,0.183902,0.0529242
0,0.188402,0.0554945
0,0.175605,0.0509925
0,0.167909,0.0545186
0,0.169541,0.0538301
0,0.170457,0.0528385
0,0.176339,0.0510363
0,0.167366,0.0505064
0,0.175186,0.0519549
0,0.169493,0.0505035
0,0.180516,0.0522782
0,0.175217,0.0518277
0,0.155739,0.0513293
0,0.175197,0.0514496
0,0.181328,0.0526229
0,0.181787,0.053273
0,0.177564,0.0509341
0,0.185468,0.0501484
0,0.160246,0.052556
0,0.172678,0.0512988
0,0.170651,0.0517503
0,0.154579,0.0530908
0,0.164867,0.050022
0,0.151454,0.0503975
0,0.165661,0.0516456
0,0.159303,0.0547988
0,0.162843,0.0508868
0,0.168866,0.0483589
0,0.180805,0.0501559
0,0.153964,0.0524504
0,0.161673,0.0515023
0,0.165512,0.0500451
0,0.166832,0.0492704
0,0.173688,0.0485344
0,0.17427,0.0513521
0,0.180944,0.0490592
0,0.167059,0.0526073
0,0.176353,0.0514526
0,0.16841,0.0514998
0,0.160668,0.0508222
0,0.165439,0.0516538
0,0.171023,0.0516752
0,0.173933,0.0501145
0,0.179898,0.0514285
0,0.164657,0.0505955
0,0.158834,0.0492038
0,0.165751,0.0513971
0,0.163644,0.0518954
0,0.165434,0.0521914
0,0.169092,0.0509453
0,0.173772,0.0532233
0,0.169829,0.0538038
0,0.149474,0.0516177
0,0.164655,0.0518483
0,0.159262,0.051579
0,0.160968,0.0506731
0,0.165411,0.0504671
0,0.172582,0.0517351
0,0.165902,0.0478775
0,0.15183,0.0510985
0,0.17729,0.047464
0,0.156597,0.0503977
0,0.170546,0.0481595
0,0.154206,0.0480425
0,0.170594,0.0487672
0,0.156911,0.0492436
0,0.142115,0.0488523
0,0.162132,0.0481411
0,0.16411,0.0484678
0,0.153869,0.0483897
0,0.181164,0.047547
0,0.172924,0.0508583
0,0.17984,0.0498859
0,0.167161,0.0512673
0,0.153727,0.0486436
0,0.17161,0.0488046
0,0.159939,0.0496223
0,0.174818,0.0493411
0,0.178545,0.0502617
0,0.168153,0.0507847
0,0.165196,0.0501086
0,0.149847,0.0483942
0,0.145425,0.0504141
0,0.154658,0.0514486
0,0.184337,0.0483361
0,0.177108,0.0486236
0,0.1368,0.0491434
0,0.149384,0.0483734
0,0.145795,0.051565
0,0.15047,0.0480679
0,0.171247,0.0502534
0,0.151072,0.0494284
0,0.153508,0.0487072
0,0.169628,0.0506014
0,0.166364,0.0468182
0,0.172266,0.0480181
0,0.157122,0.0474211
0,0.168337,0.0481387
0,0.176371,0.0480561
0,0.157861,0.0461694
0,0.163235,0.0495128
0,0.157824,0.0481421
0,0.148855,0.0470379
0,0.152673,0.0474444
0,0.163611,0.0491379
0,0.153604,0.0469314
0,0.17517,0.0506574
0,0.167678,0.0481641
0,0.154156,0.0479807
0,0.169466,0.0476593
0,0.152888,0.0481578
0,0.153346,0.047818
0,0.169625,0.047985
0,0.15433,0.0456013
0,0.153911,0.046639
0,0.156043,0.0477614
0,0.179252,0.0472148
0,0.16536,0.0486774
0,0.174876,0.0484044
0,0.168888,0.0486508
0,0.169163,0.0479382
0,0.158645,0.047533
0,0.147705,0.046774
0,0.166635,0.0488188
0,0.154777,0.0487804
0,0.166474,0.047823
0,0.159507,0.046935
0,0.176923,0.0494828
0,0.166424,0.0474642
0,0.160404,0.0492605
0,0.15233,0.0504708
0,0.169807,0.048346
0,0.155838,0.0493373
0,0.154231,0.0488369
0,0.155275,0.0468807
0,0.17376,0.0494547
0,0.157217,0.0466116
0,0.176857,0.0490064
0,0.166619,0.0482144
0,0.14025,0.046663
0,0.168819,0.0477977
0,0.158357,0.0465994
0,0.167446,0.0464095
0,0.166069,0.0492836
0,0.159567,0.0469877
0,0.158831,0.0473945
0,0.148867,0.0503131
0,0.168366,0.0501513
