timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
5842848,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6346835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
6853283,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7358905,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
7854119,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8359706,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
8854961,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9360540,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
9854064,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10362103,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
10857318,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11363728,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
11858850,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12362895,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
12857301,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13361436,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
13866046,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14372521,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
14866820,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15374088,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
15869251,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16374052,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
16870099,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17377247,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
17871023,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18378130,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
18873260,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
19380470,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
19873306,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20382891,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
20886880,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21383704,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
21890915,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22384437,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
22882849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23386835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
23881341,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24387672,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
24894067,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
25398053,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
25892433,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
26398073,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
26902891,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
27396534,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
27901301,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
28408491,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
