timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
5851763,4.70508,0.0,0,1,0,0,0,0,0
6351764,4.71636,0.0,0,1,0,0,0,0,0
6851763,4.70508,0.0,0,1,0,0,0,0,0
7351763,4.7228,0.0,0,1,0,0,0,0,0
7851763,4.73569,0.0,0,1,0,0,0,0,0
8351763,4.73086,0.0,0,1,0,0,0,0,0
8851763,4.70991,0.0,0,1,0,0,0,0,0
9361821,4.73569,0.0,0,1,0,0,0,0,0
9861763,4.70347,0.0,0,1,0,0,0,0,0
10361763,4.70991,0.0,0,1,0,0,0,0,0
10861763,4.7373,0.0,0,1,0,0,0,0,0
11361763,4.71958,0.0,0,1,0,0,0,0,0
11861782,4.74053,0.0,0,1,0,0,0,0,0
12361763,4.71958,0.0,0,1,0,0,0,0,0
12861764,4.7083,0.0,0,1,0,0,0,0,0
13361763,4.70508,0.0,0,1,0,0,0,0,0
13871763,4.7228,0.0,0,1,0,0,0,0,0
14371768,4.69058,0.0,0,1,0,0,0,0,0
14871763,4.69219,0.0,0,1,0,0,0,0,0
15371763,4.71797,0.0,0,1,0,0,0,0,0
15871795,4.73569,0.0,0,1,0,0,0,0,0
16371763,4.69702,0.0,0,1,0,0,0,0,0
16871766,4.73086,0.0,0,1,0,0,0,0,0
17371763,4.73086,0.0,0,1,0,0,0,0,0
17871763,4.71797,0.0,0,1,0,0,0,0,0
18371781,4.70991,0.0,0,1,0,0,0,0,0
18881763,4.74053,0.0,0,1,0,0,0,0,0
19381823,4.7083,0.0,0,1,0,0,0,0,0
19881763,4.70347,0.0,0,1,0,0,0,0,0
20381763,4.69702,0.0,0,1,0,0,0,0,0
20881763,4.70991,0.0,0,1,0,0,0,0,0
21381763,4.68413,0.0,0,1,0,0,0,0,0
21891763,4.74375,0.0,0,1,0,0,0,0,0
22391763,4.71636,0.0,0,1,0,0,0,0,0
22891763,4.68252,0.0,0,1,0,0,0,0,0
23391763,4.72119,0.0,0,1,0,0,0,0,0
23891763,4.73086,0.0,0,1,0,0,0,0,0
24391778,4.70669,0.0,0,1,0,0,0,0,0
24891763,4.71797,0.0,0,1,0,0,0,0,0
25391765,4.70991,0.0,0,1,0,0,0,0,0
25901763,4.69541,0.0,0,1,0,0,0,0,0
26401800,4.71636,0.0,0,1,0,0,0,0,0
26901763,4.74375,0.0,0,1,0,0,0,0,0
27401780,4.71636,0.0,0,1,0,0,0,0,0
27901787,4.70508,0.0,0,1,0,0,0,0,0
28401763,4.73086,0.0,0,1,0,0,0,0,0
